Category,File Path,Negative,Neutral,Positive,Compound
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\AP\clone-or-competitor.txt,0.053,0.825,0.123,0.997
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\AP\elon-musk-puts-limits-on-tweets.txt,0.08,0.829,0.092,0.8133
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\AP\meta-new-twitter-rival.txt,0.025,0.887,0.088,0.9914
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\AP\meta-planing-to-target-twitter.txt,0.038,0.906,0.056,0.7783
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\AP\musk-reveals-new-logo.txt,0.032,0.891,0.077,0.9941
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\AP\reluctant-twitter-users.txt,0.032,0.851,0.117,0.9987
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\AP\twitter-losing-cash-say-musk.txt,0.094,0.83,0.076,-0.7351
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\AP\twitter-threatens-meta.txt,0.04,0.888,0.073,0.9152
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\AP\twitter-to-change-logo.txt,0.073,0.889,0.039,-0.9808
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\AP\what-is-threads.txt,0.027,0.909,0.063,0.9936
Mainstream,"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\BBC\BBC_ Thirty million join Meta_s Twitter rival Threads, Zuckerberg says.txt",0.032,0.931,0.037,0.2989
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\BBC\BBC_Can Threads make more money than Elon Muskíªs Twitter.txt,0.077,0.8,0.123,0.9918
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\BBC\BBC_Facebook owner Meta plans to create Twitter rival.txt,0.034,0.908,0.058,0.7826
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\BBC\BBC_Instagram_s Threads- _Almost every influencer will be hopping on it_.txt,0.037,0.808,0.155,0.9979
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\BBC\BBC_Meta plans feed for Threads after users complain.txt,0.05,0.882,0.068,0.6753
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\BBC\BBC_Threads app signs up 100m users in less than a week.txt,0.054,0.894,0.052,-0.7698
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\BBC\BBC_Threads could cause real problems for Twitter.txt,0.07,0.83,0.1,0.9864
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\BBC\BBC_Threads- Instagram owner to launch Twitter rival on Thursday.txt,0.037,0.88,0.082,0.9595
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\BBC\BBC_Threads- Twitter threatens legal action over Meta_s new app.txt,0.043,0.863,0.093,0.9899
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\BBC\BBC_Why your favourite brand may be taking a social media break.txt,0.081,0.83,0.089,0.2039
Mainstream,"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\CNBC\CNBC_As Twitter continues to implode, advertisers pin their hopes on Threads.txt",0.043,0.862,0.095,0.9869
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\CNBC\CNBC_Mark Zuckerbergíªs Twitter rival passed 30 million sign-ups overnight íX hereíªs how to use Metaíªs Threads app and whatíªs miss.txt,0.041,0.881,0.078,0.9749
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\CNBC\CNBC_Meta launches Instagram Threads in a direct challenge to Twitter.txt,0.015,0.927,0.058,0.9854
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\CNBC\CNBC_Meta rolls out first feature update to Threads since launch earlier this month.txt,0.0,0.864,0.136,0.9823
Mainstream,"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\CNBC\CNBC_Meta Threads doesníªt need the íÑnegativityíª of hard news and politics, exec says.txt",0.081,0.861,0.058,-0.6756
Mainstream,"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\CNBC\CNBC_Meta Threads engagement has dropped off since red-hot debut, tracking firms say.txt",0.014,0.84,0.146,0.9986
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\CNBC\CNBC_Metaíªs Threads just got an update that users have been begging for.txt,0.012,0.91,0.078,0.941
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\CNBC\CNBC_Threads has lured some creators who never loved Twitter íX now Meta has to keep them.txt,0.032,0.809,0.159,0.9997
Mainstream,E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Mainstream\CNBC\CNBC_Twitter accuses Meta of stealing trade secrets for its new Threads app.txt,0.039,0.924,0.038,-0.09
