Summary File,Negative,Neutral,Positive,Compound
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\AP\clone-or-competitor_summary.txt,0.049,0.891,0.06,-0.0267
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\AP\elon-musk-puts-limits-on-tweets_summary.txt,0.069,0.807,0.124,0.7848
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\AP\meta-new-twitter-rival_summary.txt,0.0,0.915,0.085,0.9325
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\AP\meta-planing-to-target-twitter_summary.txt,0.017,0.938,0.045,0.4215
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\AP\musk-reveals-new-logo_summary.txt,0.037,0.952,0.012,-0.5859
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\AP\reluctant-twitter-users_summary.txt,0.027,0.912,0.061,0.7501
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\AP\twitter-losing-cash-say-musk_summary.txt,0.095,0.834,0.071,-0.6249
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\AP\twitter-threatens-meta_summary.txt,0.039,0.861,0.1,0.8807
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\AP\twitter-to-change-logo_summary.txt,0.0,0.973,0.027,0.4019
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\AP\what-is-threads_summary.txt,0.025,0.9,0.075,0.8429
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\BBC\BBC_ Thirty million join Meta_s Twitter rival Threads, Zuckerberg says_summary.txt",0.032,0.925,0.043,0.0772
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\BBC\BBC_Can Threads make more money than Elon Muskíªs Twitter_summary.txt,0.046,0.841,0.113,0.911
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\BBC\BBC_Facebook owner Meta plans to create Twitter rival_summary.txt,0.066,0.871,0.063,-0.1027
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\BBC\BBC_Instagram_s Threads- _Almost every influencer will be hopping on it__summary.txt,0.044,0.799,0.158,0.9703
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\BBC\BBC_Meta plans feed for Threads after users complain_summary.txt,0.055,0.89,0.054,-0.3071
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\BBC\BBC_Threads app signs up 100m users in less than a week_summary.txt,0.061,0.86,0.079,0.5267
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\BBC\BBC_Threads could cause real problems for Twitter_summary.txt,0.04,0.885,0.075,0.6808
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\BBC\BBC_Threads- Instagram owner to launch Twitter rival on Thursday_summary.txt,0.0,0.927,0.073,0.7783
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\BBC\BBC_Threads- Twitter threatens legal action over Meta_s new app_summary.txt,0.018,0.881,0.1,0.9064
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\BBC\BBC_Why your favourite brand may be taking a social media break_summary.txt,0.156,0.744,0.101,-0.9231
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNBC\CNBC_As Twitter continues to implode, advertisers pin their hopes on Threads_summary.txt",0.086,0.778,0.136,0.8807
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNBC\CNBC_Mark Zuckerbergíªs Twitter rival passed 30 million sign-ups overnight íX hereíªs how to use Metaíªs Threads app and whatíªs miss_summary.txt,0.04,0.912,0.048,0.0516
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNBC\CNBC_Meta launches Instagram Threads in a direct challenge to Twitter_summary.txt,0.009,0.94,0.05,0.7279
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNBC\CNBC_Meta rolls out first feature update to Threads since launch earlier this month_summary.txt,0.0,0.863,0.137,0.9508
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNBC\CNBC_Meta Threads doesníªt need the íÑnegativityíª of hard news and politics, exec says_summary.txt",0.044,0.879,0.077,0.7964
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNBC\CNBC_Meta Threads engagement has dropped off since red-hot debut, tracking firms say_summary.txt",0.013,0.833,0.154,0.9844
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNBC\CNBC_Metaíªs Threads just got an update that users have been begging for_summary.txt,0.008,0.903,0.089,0.8977
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNBC\CNBC_Threads has lured some creators who never loved Twitter íX now Meta has to keep them_summary.txt,0.029,0.881,0.089,0.8807
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNBC\CNBC_Twitter accuses Meta of stealing trade secrets for its new Threads app_summary.txt,0.014,0.941,0.045,0.5574
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNBC\CNBC_Twitter traffic is íÑtankingíª as Metaíªs Threads hits 100 million users_summary.txt,0.018,0.905,0.076,0.8439
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNN\CNN_Elon Musk jet-tracking account moves to Twitter rival Threads_summary.txt,0.048,0.903,0.049,0.0258
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNN\CNN_Meta cut election teams months before Threads launch, raising concerns for 2024_summary.txt",0.062,0.828,0.11,0.8847
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNN\CNN_Meta officially launches Twitter rival Threads. 30 million have joined already_summary.txt,0.024,0.878,0.097,0.7964
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNN\CNN_Meta takes aim at Twitter with new Threads app_summary.txt,0.032,0.834,0.134,0.9584
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNN\CNN_Metaíªs Threads app rolls out first big batch of updates_summary.txt,0.0,0.861,0.139,0.9727
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNN\CNN_Metaíªs Threads upends social media in less than 48 hours_summary.txt,0.081,0.81,0.109,0.505
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNN\CNN_Threads now has íÑtens of millionsíª of daily users. But its honeymoon phase may be over_summary.txt,0.101,0.836,0.063,-0.7783
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNN\CNN_Twitter threatens to sue Meta after rival app Threads gains traction_summary.txt,0.078,0.827,0.095,0.4404
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNN\CNN_Twitteríªs future is in doubt as Threads tops 100 million users_summary.txt,0.036,0.844,0.12,0.9381
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\CNN\CNN_What is Threads Hereíªs what you need to know about the potential Twitter Killer_summary.txt,0.006,0.933,0.061,0.7904
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\Guardian\TheGuardian_Could Metaíªs Threads deal a knockout blow to Twitter_summary.txt,0.079,0.835,0.086,0.611
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\Guardian\TheGuardian_Mark Zuckerbergíªs Threads The app is vapid, boring and destined to fail_summary.txt",0.029,0.774,0.198,0.9792
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\Guardian\TheGuardian_Meta delivered íÑa major blowíª to Twitter. Will it flip the flailing firmíªs fortunes_summary.txt,0.057,0.87,0.074,0.3612
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\Guardian\TheGuardian_TechScape With 100 million users, is Threads on course to finish off Twitter_summary.txt",0.131,0.829,0.04,-0.8988
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\Guardian\TheGuardian_Threads review Twitter without the rough edges or news_summary.txt,0.09,0.796,0.114,0.6544
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\Guardian\TheGuardian_Threads v Twitter íV is this the main bout between Musk and Zuckerberg_summary.txt,0.075,0.828,0.096,0.8481
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\Guardian\TheGuardian_Twitter threatens to sue Meta over rival Threads app_summary.txt,0.052,0.884,0.063,0.4019
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\Guardian\TheGuardian_We tried Threads, Metaíªs new Twitter rival. Hereíªs what happened_summary.txt",0.014,0.894,0.092,0.872
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\Guardian\TheGuardian_Zuckerberg uses Threads to say Twitter has missed its chance_summary.txt,0.056,0.838,0.106,0.8647
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Mainstream\Guardian\TheGuardian_íÑTwitter killeríª Threads app hits 100m sign-ups in less than five days_summary.txt,0.025,0.884,0.091,0.7351
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Entrepreneur\Entrepreneur_Analysts Say _Twitter_s Traffic Is Tanking_ as Threads Hits 100 Million Users_summary.txt,0.118,0.813,0.07,-0.7003
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Entrepreneur\Entrepreneur_Threads to Implement Changes to Common Complaints After Hitting 100 Million Users_summary.txt,0.03,0.891,0.079,0.9233
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Entrepreneur\Entrepreneur_Twitter_s Not Just Loosing To Threads But 3 Other Apps_summary.txt,0.008,0.862,0.129,0.9481
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Entrepreneur\Entrepreneur__Competition Is Fine, Cheating Is Not_ Elon Musk Threatens to Sue Meta Over Threads _Copying_ Twitter_summary.txt",0.054,0.846,0.1,0.7875
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Entrepreneur\Entrepreneur__We Want To Do It Differently_ Mark Zuckerberg and Elon Musk Continue Feud as Meta Launches _Threads__summary.txt,0.026,0.88,0.094,0.8316
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\GQ\GQ_Elon Musk vs Mark Zuckerberg All about the cage fight between the two tech titans_summary.txt,0.102,0.887,0.011,-0.9093
